reclat,reclon
42.91488, -78.88205,
42.91487, -78.88199,
42.91483, -78.88198,
42.91486, -78.88201,
42.91493, -78.88208,
42.91498, -78.88213,
42.91482, -78.88198,
42.91479, -78.88196,
42.91481, -78.88198,
42.91484, -78.88204,
42.91488, -78.88206,
42.91486, -78.88205,
42.91489, -78.88207,
42.91492, -78.88209,
42.91484, -78.88205,
42.91485, -78.88199,
42.91479, -78.88196,
42.91481, -78.88197,
42.91481, -78.88200,
42.91486, -78.88201,
42.91489, -78.88210,
42.91478, -78.88197,
42.91476, -78.88195,
42.91488, -78.88206,
42.91485, -78.88206,
42.91477, -78.88196,
42.91481, -78.88197,
42.91485, -78.88205,
42.91482, -78.88199,
42.91484, -78.88205,
42.91489, -78.88206,
42.91486, -78.88205,
42.91482, -78.88198,
42.91485, -78.88200,
42.91489, -78.88206,
42.91478, -78.88196,
42.91488, -78.88205,
42.91483, -78.88207,
42.91482, -78.88198,
42.91488, -78.88198,
42.91483, -78.88198,
42.91484, -78.88203,
42.91477, -78.88196,
42.91477, -78.88193,
42.91477, -78.88195,
42.91484, -78.88205,
42.91486, -78.88206,
42.91484, -78.88205,
42.91486, -78.88206,
42.91489, -78.88207,
42.91491, -78.88208,
42.91500, -78.88211,
42.91479, -78.88197,
42.91476, -78.88194,
42.91479, -78.88196,
42.91486, -78.88203,
42.91488, -78.88205,
42.91490, -78.88207,
42.91483, -78.88198,
42.91484, -78.88204,
42.91489, -78.88211,
42.91482, -78.88198,
42.91484, -78.88204,
42.91469, -78.88189,
42.91483, -78.88203,
42.91487, -78.88205,
42.91485, -78.88205,
42.91489, -78.88206,
42.91486, -78.88205,
42.91496, -78.88209,
42.91486, -78.88206,
42.91489, -78.88206,
42.91487, -78.88201,
42.91489, -78.88206,
42.91486, -78.88205,
42.91488, -78.88206,
42.91478, -78.88196,
42.91482, -78.88202,
42.91487, -78.88205,
42.91479, -78.88198,
42.91477, -78.88196,
42.91480, -78.88197,
42.91483, -78.88202,
42.91470, -78.88191,
42.91475, -78.88194,
42.91481, -78.88202,
42.91478, -78.88197,
42.91483, -78.88203,
42.91481, -78.88197,
42.91480, -78.88195,
42.91478, -78.88195,
42.91482, -78.88202,
42.91482, -78.88199,
42.91485, -78.88198,
42.91483, -78.88198,
42.91495, -78.88207,
42.91479, -78.88197,
42.91477, -78.88195,
42.91485, -78.88203,
42.91483, -78.88200,
42.91487, -78.88204,
42.91489, -78.88206,
42.91499, -78.88211,
42.91485, -78.88205,
42.91481, -78.88198,
42.91477, -78.88195,
42.91484, -78.88204,
42.91485, -78.88206,
42.91482, -78.88199,
42.91499, -78.88210,
42.91485, -78.88200,
42.91488, -78.88205,
42.91478, -78.88199,
42.91480, -78.88200,
42.91478, -78.88199,
42.91484, -78.88204,
42.91480, -78.88199,
42.91485, -78.88205,
42.91479, -78.88198,
42.91477, -78.88196,
42.91480, -78.88197,
42.91483, -78.88203,
42.91487, -78.88205,
42.91488, -78.88201,
42.91486, -78.88203,
42.91479, -78.88198,
42.91480, -78.88195,
42.91484, -78.88204,
42.91479, -78.88198,
42.91482, -78.88206,
42.91478, -78.88200,
42.91480, -78.88195,
42.91481, -78.88200,
42.91477, -78.88196,
42.91488, -78.88199,
42.91482, -78.88200,
42.91489, -78.88206,
42.91482, -78.88201,
42.91481, -78.88198,
42.91477, -78.88195,
42.91488, -78.88202,
42.91486, -78.88196,
42.91496, -78.88208,
42.91498, -78.88213,
42.91491, -78.88215,
42.91477, -78.88212,
42.91481, -78.88217,
42.91483, -78.88214,
42.91472, -78.88214,
42.91474, -78.88216,
42.91485, -78.88216,
42.91489, -78.88216,
42.91484, -78.88214,
42.91470, -78.88213,
42.91455, -78.88212,
42.91463, -78.88214,
42.91468, -78.88213,
42.91475, -78.88213,
42.91476, -78.88211,
42.91481, -78.88212,
42.91465, -78.88206,
42.91469, -78.88213,
42.91471, -78.88211,
42.91474, -78.88206,
42.91477, -78.88206,
42.91478, -78.88209,
42.91484, -78.88210,
42.91486, -78.88210,
42.91488, -78.88218,
42.91485, -78.88217,
42.91491, -78.88207,
42.91484, -78.88211,
42.91474, -78.88218,
42.91476, -78.88214,
42.91477, -78.88211,
42.91482, -78.88221,
42.91480, -78.88219,
42.91503, -78.88215,
42.91496, -78.88214,
42.91477, -78.88207,
42.91744, -78.88794,
42.91744, -78.88794,
42.91483, -78.88215,
42.91481, -78.88215,
42.91488, -78.88213,
42.91484, -78.88201,
42.91482, -78.88208,
42.91482, -78.88214,
42.91478, -78.88216,
42.91480, -78.88218,
42.91480, -78.88215,
42.91479, -78.88210,
42.91479, -78.88210,
42.91478, -78.88205,
42.91480, -78.88203,
42.91482, -78.88208,
42.91483, -78.88212,
42.91485, -78.88210,
42.91484, -78.88212,
42.91481, -78.88212,
42.91484, -78.88207,
42.91487, -78.88209,
42.91485, -78.88213,
42.91482, -78.88212,
42.91482, -78.88215,
42.91484, -78.88218,
42.91482, -78.88215,
42.91479, -78.88213,
42.91474, -78.88212,
42.91467, -78.88211,
42.91458, -78.88210,
42.91448, -78.88210,
42.91437, -78.88210,
42.91425, -78.88209,
42.91414, -78.88209,
42.91400, -78.88209,
42.91385, -78.88209,
42.91373, -78.88208,
42.91360, -78.88208,
42.91347, -78.88208,
42.91342, -78.88208,
42.91321, -78.88207,
42.91308, -78.88207,
42.91295, -78.88207,
42.91282, -78.88206,
42.91270, -78.88206,
42.91258, -78.88206,
42.91246, -78.88205,
42.91234, -78.88205,
42.91227, -78.88205,
42.91212, -78.88205,
42.91201, -78.88204,
42.91191, -78.88204,
42.91184, -78.88204,
42.91178, -78.88204,
42.91174, -78.88204,
42.91172, -78.88204,
42.91170, -78.88204,
42.91168, -78.88204,
42.91165, -78.88204,
42.91161, -78.88204,
42.91155, -78.88203,
42.91147, -78.88203,
42.91139, -78.88203,
42.91131, -78.88203,
42.91121, -78.88203,
42.91111, -78.88202,
42.91101, -78.88202,
42.91107, -78.88202,
42.91068, -78.88201,
42.91058, -78.88201,
42.91047, -78.88201,
42.91036, -78.88201,
42.91025, -78.88201,
42.91014, -78.88200,
42.91003, -78.88200,
42.90992, -78.88200,
42.90982, -78.88200,
42.90971, -78.88200,
42.90961, -78.88199,
42.90952, -78.88201,
42.90945, -78.88200,
42.90939, -78.88200,
42.90936, -78.88200,
42.90934, -78.88200,
42.90929, -78.88200,
42.90924, -78.88199,
42.90918, -78.88197,
42.90913, -78.88196,
42.90909, -78.88197,
42.90906, -78.88197,
42.90904, -78.88197,
42.90901, -78.88199,
42.90898, -78.88198,
42.90896, -78.88194,
42.90896, -78.88187,
42.90896, -78.88178,
42.90898, -78.88167,
42.90898, -78.88155,
42.90899, -78.88142,
42.90899, -78.88129,
42.90899, -78.88114,
42.90898, -78.88100,
42.90898, -78.88087,
42.90897, -78.88074,
42.90895, -78.88063,
42.90895, -78.88054,
42.90895, -78.88048,
42.90895, -78.88044,
42.90895, -78.88040,
42.90895, -78.88035,
42.90895, -78.88030,
42.90895, -78.88018,
42.90895, -78.88008,
42.90894, -78.87995,
42.90894, -78.87982,
42.90894, -78.87968,
42.90894, -78.87953,
42.90894, -78.87939,
42.90894, -78.87925,
42.90897, -78.87913,
42.90897, -78.87904,
42.90896, -78.87899,
42.90897, -78.87895,
42.90894, -78.87891,
42.90894, -78.87887,
42.90893, -78.87883,
42.90893, -78.87880,
42.90893, -78.87874,
42.90893, -78.87857,
42.90893, -78.87845,
42.90893, -78.87832,
42.90893, -78.87819,
42.90893, -78.87813,
42.90893, -78.87793,
42.90893, -78.87780,
42.90893, -78.87768,
42.90892, -78.87758,
